"","minutes","miles","uqlatlongid"
"180",2.08333333333333,1.333462166,"42.251809+-71.005409+42.233391+-71.007153"
"181",5.48333333333333,2.09402027,"42.251809+-71.005409+42.275783+-71.030184"
"182",12.8333333333333,5.667524891,"42.251809+-71.005409+42.320563+-71.052251"
"183",16.2166666666667,6.463501142,"42.251809+-71.005409+42.330154+-71.057655"
"184",18.2833333333333,7.291788685,"42.251809+-71.005409+42.342622+-71.056967"
"185",21,8.129396793,"42.251809+-71.005409+42.352271+-71.055242"
"186",22.9,8.458102052,"42.251809+-71.005409+42.355518+-71.060225"
"187",24.6166666666667,8.573055687,"42.251809+-71.005409+42.35639457+-71.0624242"
"188",31.1333333333333,9.197533542,"42.251809+-71.005409+42.361269+-71.071678"
"189",29.45,9.880420271,"42.251809+-71.005409+42.362434+-71.085591"
"190",31.2666666666667,10.852244515,"42.251809+-71.005409+42.365379+-71.103554"
"191",34.8833333333333,11.825932872,"42.251809+-71.005409+42.373362+-71.118956"
"192",38.1833333333333,12.89344825,"42.251809+-71.005409+42.3884+-71.119149"
"193",43.2166666666667,14.671812052,"42.251809+-71.005409+42.395428+-71.142483"
"194",39.7666666666667,13.526625299,"42.251809+-71.005409+42.39674+-71.121815"
"195",10.9166666666667,6.337362829,"42.251847+-71.005168+42.172496+-71.010689"
"196",23.9833333333333,4.693215163,"42.251847+-71.005168+42.229778+-71.030998"
"197",2.58333333333333,1.378822249,"42.251847+-71.005168+42.233238+-71.007244"
"198",13.35,1.703799282,"42.251847+-71.005168+42.233513+-71.006101"
"199",20.7,1.542242822,"42.251847+-71.005168+42.241582+-71.011504"
"200",12.0166666666667,1.62177831,"42.251847+-71.005168+42.241934+-71.012967"
"201",11.6666666666667,1.752887591,"42.251847+-71.005168+42.242474+-71.015449"
"202",12.8333333333333,1.956697279,"42.251847+-71.005168+42.242812+-71.019401"
"203",13.8666666666667,2.131923901,"42.251847+-71.005168+42.243279+-71.022767"
"204",28.5166666666667,3.819567537,"42.251847+-71.005168+42.244348+-71.024664"
"205",28.0666666666667,3.649933254,"42.251847+-71.005168+42.245294+-71.027722"
"206",27.9333333333333,3.532494135,"42.251847+-71.005168+42.245476+-71.030007"
"207",6.85,0.528786721,"42.251847+-71.005168+42.248742+-71.002111"
"208",25.1833333333333,2.970774751,"42.251847+-71.005168+42.251507+-71.036493"
"209",24.5,2.894346118,"42.251847+-71.005168+42.252155+-71.035971"
"210",13.2666666666667,2.514688437,"42.251847+-71.005168+42.256313+-71.033465"
"211",29.55,5.782478526,"42.251847+-71.005168+42.282582+-71.056746"
"212",20.5,5.584882548,"42.251847+-71.005168+42.284195+-71.063879"
"213",21.8666666666667,5.653233358,"42.251908+-71.0052+42.21658+-70.929055"
"214",20.5333333333333,5.246235353,"42.251908+-71.0052+42.217616+-70.936939"
"215",17.25,4.02027037,"42.251908+-71.0052+42.233595+-70.944884"
"216",16.7166666666667,3.708963499,"42.251908+-71.0052+42.237963+-70.944602"
"217",10.3833333333333,2.874462246,"42.251908+-71.0052+42.242676+-70.954621"
