"","minutes","miles","uqlatlongid"
"256",30.8833333333333,8.98502466,"42.251809+-71.005409+42.337875+-71.09524"
"257",21.3333333333333,7.826167745,"42.251809+-71.005409+42.342622+-71.056967"
"258",33.4166666666667,13.789465232,"42.251809+-71.005409+42.343974+-71.142731"
"259",30.3,12.728784935,"42.251809+-71.005409+42.345088+-71.104843"
"260",28.1166666666667,14.362369294,"42.251809+-71.005409+42.34557+-71.081696"
"261",29.9333333333333,12.741833726,"42.251809+-71.005409+42.345884+-71.107697"
"262",27.0166666666667,8.640785126,"42.251809+-71.005409+42.34735+-71.075727"
"263",28.9166666666667,12.279533702,"42.251809+-71.005409+42.348949+-71.095169"
"264",28.7,8.6370569,"42.251809+-71.005409+42.350126+-71.077376"
"265",27.6666666666667,8.520239152,"42.251809+-71.005409+42.351902+-71.070893"
"266",19.1333333333333,8.24559317,"42.251809+-71.005409+42.352271+-71.055242"
"267",23.7666666666667,8.341284304,"42.251809+-71.005409+42.352547+-71.062752"
"268",25.9333333333333,8.660047627,"42.251809+-71.005409+42.355518+-71.060225"
"269",26.5,9.759874297,"42.251809+-71.005409+42.35639457+-71.0624242"
"270",23.6833333333333,9.404450085,"42.251809+-71.005409+42.358978+-71.057598"
"271",24.6833333333333,9.534937995,"42.251809+-71.005409+42.359705+-71.059215"
"272",23.55,10.40175054,"42.251809+-71.005409+42.361269+-71.071678"
"273",28.45,11.484800193,"42.251809+-71.005409+42.362434+-71.085591"
"274",25.2666666666667,9.539908963,"42.251809+-71.005409+42.363021+-71.05829"
"275",25.2666666666667,9.539908963,"42.251809+-71.005409+42.363021+-71.05829"
"276",30.3666666666667,12.622530494,"42.251809+-71.005409+42.365379+-71.103554"
"277",25.0833333333333,9.633735984,"42.251809+-71.005409+42.365577+-71.06129"
"278",23.2,9.984810599,"42.251809+-71.005409+42.366933+-71.068093"
"279",31.65,12.884127685,"42.251809+-71.005409+42.373362+-71.118956"
"280",21.9833333333333,10.286796905,"42.251809+-71.005409+42.374067+-71.070929"
"281",38.6,13.992653549,"42.251809+-71.005409+42.3884+-71.119149"
"282",37.5833333333333,15.492021772,"42.251809+-71.005409+42.395428+-71.142483"
"283",36.35,14.323844292,"42.251809+-71.005409+42.39674+-71.121815"
"284",31.6166666666667,14.214482996,"42.251809+-71.005409+42.401322+-71.07673"
"285",18.5166666666667,6.87236326,"42.251847+-71.005168+42.172496+-71.010689"
"286",8.33333333333333,1.692614604,"42.251847+-71.005168+42.233238+-71.007244"
"287",10.1166666666667,2.097127125,"42.251847+-71.005168+42.233513+-71.006101"
"288",8.08333333333333,1.240877887,"42.251847+-71.005168+42.241582+-71.011504"
"289",8.28333333333333,1.319170633,"42.251847+-71.005168+42.241934+-71.012967"
"290",8.71666666666667,1.451522656,"42.251847+-71.005168+42.242474+-71.015449"
"291",8.53333333333333,2.211459389,"42.251847+-71.005168+42.244348+-71.024664"
"292",4.55,0.493989945,"42.251847+-71.005168+42.248742+-71.002111"
"293",8.81666666666667,2.133788014,"42.251847+-71.005168+42.251507+-71.036493"
"294",8.45,2.07537914,"42.251847+-71.005168+42.252155+-71.035971"
"295",7.56666666666667,1.807568239,"42.251847+-71.005168+42.256313+-71.033465"
"296",18.25,4.888325657,"42.251847+-71.005168+42.284195+-71.063879"
"297",12.8166666666667,3.881083266,"42.251908+-71.0052+42.233595+-70.944884"
"298",10.3333333333333,2.856442487,"42.251908+-71.0052+42.242676+-70.954621"
"299",6.46666666666667,1.287480712,"42.251908+-71.0052+42.248353+-70.983673"
"300",5.48333333333333,0.932677871,"42.251908+-71.0052+42.2493+-70.990435"
"301",3.46666666666667,0.418182683,"42.251908+-71.0052+42.250719+-71.000181"
"302",2.21666666666667,0.421910909,"42.252026+-71.125219+42.257978+-71.123529"
"303",12.7833333333333,3.430589291,"42.252026+-71.125219+42.300479+-71.113634"
"304",29.7333333333333,13.029528499,"42.252026+-71.125219+42.358978+-71.057598"
"305",0.766666666666667,0.263461304,"42.252059+-71.125337+42.248475+-71.127058"
"306",20.5833333333333,8.399071807,"42.252155+-71.035971+42.330714+-71.096023"
"307",21,8.314565351,"42.252155+-71.035971+42.336377+-71.088961"
"308",23.6666666666667,8.46928673,"42.252155+-71.035971+42.337875+-71.09524"
"309",10.75,2.673138042,"42.252838+-71.075599+42.284195+-71.063879"
"310",23.7166666666667,8.476743182,"42.253016+-71.03517+42.337875+-71.09524"
"311",15.3166666666667,3.924579236,"42.253872+-71.16863+42.279888+-71.119028"
"312",18.0833333333333,6.058988621,"42.253872+-71.16863+42.300749+-71.114314"
"313",18.4833333333333,6.836323742,"42.253877+-71.139562+42.333092+-71.109678"
"314",20.0166666666667,7.053803592,"42.253877+-71.139562+42.333704+-71.105586"
"315",21.2,7.222195133,"42.253877+-71.139562+42.334833+-71.102701"
"316",19.95,7.35703264,"42.25401+-71.076854+42.317228+-71.065045"
"317",7.16666666666667,1.918172277,"42.254135+-71.034187+42.251809+-71.005409"
"318",12.1666666666667,3.2311292,"42.254586+-71.033785+42.284195+-71.063879"
"319",24.0333333333333,8.60598835,"42.254586+-71.033785+42.337875+-71.09524"
"320",11.1833333333333,4.321013934,"42.254718+-71.145182+42.300839+-71.127376"
"321",3.95,1.300529503,"42.254741+-71.124397+42.237363+-71.132128"
"322",1.25,0.213751624,"42.254919+-71.124162+42.257978+-71.123529"
"323",2.2,0.485290751,"42.254919+-71.124162+42.261691+-71.121992"
"324",3.7,0.902852063,"42.254919+-71.124162+42.267672+-71.120811"
"325",7.7,2.113904142,"42.254919+-71.124162+42.285066+-71.118763"
"326",11.8166666666667,3.222430006,"42.254919+-71.124162+42.300479+-71.113634"
"327",28.6833333333333,11.782436902,"42.254919+-71.124162+42.349662+-71.063917"
"328",29.4333333333333,12.851816393,"42.254919+-71.124162+42.358978+-71.057598"
"329",12.9333333333333,5.401578103,"42.255272+-71.138069+42.300749+-71.114314"
"330",18.1166666666667,6.702107606,"42.255272+-71.138069+42.333092+-71.109678"
"331",11.9166666666667,3.124253388,"42.255874+-71.032637+42.284195+-71.063879"
"332",24.4166666666667,8.459966165,"42.255874+-71.032637+42.33608+-71.099883"
"333",25.7833333333333,8.515268184,"42.255874+-71.032637+42.337875+-71.09524"
"334",6.93333333333333,1.821238401,"42.256303+-71.033739+42.251696+-71.004973"
"335",11.2666666666667,3.068329998,"42.256313+-71.033465+42.284195+-71.063879"
"336",14.3333333333333,7.567056038,"42.256313+-71.033465+42.352271+-71.055242"
"337",1.2,0.137944362,"42.256719+-71.124011+42.254741+-71.124397"
"338",4.85,1.88275413,"42.257475+-71.144938+42.275951+-71.139621"
"339",0.95,0.271539127,"42.257978+-71.123529+42.261691+-71.121992"
"340",3.96666666666667,0.972445615,"42.257978+-71.123529+42.266018+-71.120924"
"341",2.45,0.689100439,"42.257978+-71.123529+42.267672+-71.120811"
"342",7.35,2.223886809,"42.257978+-71.123529+42.289719+-71.118046"
"343",7.81666666666667,2.406569883,"42.257978+-71.123529+42.292344+-71.117619"
"344",10.5666666666667,3.008678382,"42.257978+-71.123529+42.300479+-71.113634"
"345",30.5,11.971955057,"42.257978+-71.123529+42.352547+-71.062752"
"346",30.3,12.942536559,"42.257978+-71.123529+42.358978+-71.057598"
"347",4.08333333333333,0.750616168,"42.258017+-71.16126+42.265986+-71.151799"
"348",9.11666666666667,2.214566244,"42.258132+-71.080961+42.284195+-71.063879"
"349",27.4166666666667,13.273727302,"42.258132+-71.080961+42.365379+-71.103554"
"350",11.4166666666667,3.20006065,"42.258293+-71.160526+42.279888+-71.119028"
